Name,ID,Publisher Name,Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Downloads First 30 Days (WW),Most Popular Country by Downloads,"RPD (All Time, WW)",Game Art Style,Game Theme,Game Genre,Game Setting
Pocket Styler: Fashion Stars,5e78e59a7389634b6d740b55,Nordcurrent,560c3f8c8ac3506439001059,2023/12/3,Unified,Games,5488216,-3347204,-0.378839,12564995.12,-1141324.58,-0.08327,61311,-78784,-0.562361,2394311,US,$1.39 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Makeover Studio 3D,605e01adec1eca5265f4feb6,Kwalee,55f88dbb8ac350426b01f69f,2023/12/3,Unified,Games,5411180,-6336642,-0.539389,25441.95,-66526.21,-0.723361,29299,-42062,-0.589426,2517829,Brazil,$0.00 ,3D Cartoon,Fashion / Aesthetics / Hair,Simulation,Modern
My Story: Choose Your Own Path,57f5d48c0211a66ba8000066,Stillfront Group,560c4a178ac350643900dbf8,2023/12/3,Unified,Games,5124537,-5587613,-0.521615,371832.46,-716855.55,-0.658458,27285,-26170,-0.489571,323662,Brazil,$0.67 ,2D Cartoon,Drama,Lifestyle,Modern
Hello Kitty My Dream Store,67623418febe658a680641d2,ACT Games,618ccd4e3c4b0c014de7b854,2023/12/3,Unified,Games,4013169,4013169,,4164115.95,4164115.95,,37347,37347,,32863,Brazil,$1.04 ,2D Cartoon,Entertainment Mascot,Puzzle,Cartoon Fantasy
Hey Beauty: Love & Puzzle,629ee83e4bd9366c90b1901b,Appzoa Tech,6113dc01180097213b933ec0,2023/12/3,Unified,Games,3363671,-10394973,-0.755523,218007.67,-664037.23,-0.752838,330923,179487,1.185233,10829,Brazil,$0.06 ,2D Cartoon,Drama,Puzzle,Modern
Venue: Relaxing Design Game,6495957f54a0f87c94cce15f,Superbloom,6628546fa7e2ff623fcca4e0,2023/12/3,Unified,Games,3332692,3307326,130.384215,2365679.55,2365252.54,5539.103393,30526,30394,230.257576,116878,US,$0.70 ,2D Realistic,Decoration,Lifestyle,Modern
Project Makeover,5dd54f395c6ace4531c71a91,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,78509471,-23987694,-0.234033,244629103.4,-47592204.51,-0.162864,2691289,-1403889,-0.342815,16125754,Brazil,$2.73 ,3D Cartoon,Fashion / Aesthetics / Hair,Puzzle,Modern
Makeup ASMR: Makeover Story,65233ee93dba1c53ecae3ecf,Stella Joy Studio,604b0e1afae2604c2d5ae478,2023/12/3,Unified,Games,30050699,29734425,94.014763,417143.25,416954.92,2213.959114,1091907,1091335,1907.928322,28795,Brazil,$0.01 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Gacha Life,5bd8d6c6249f1f6a1ea63503,Lunime,58a6531f0211a6cc4b000574,2023/12/3,Unified,Games,25273387,-12426988,-0.329625,16747.84,-80049.46,-0.82698,1067948,-873643,-0.449962,2756862,Brazil,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,N/A
Merge Cooking,6219e63b0c6ad83301492f26,Happibits,61cebcfc431cd31ee46baf86,2023/12/3,Unified,Games,14947185,8920096,1.480001,94227323.98,84814957.93,9.011014,704016,514643,2.717615,503621,Indonesia,$4.93 ,3D Cartoon,Cooking / Food,Puzzle,Modern
MY LITTLE PONY: MAGIC PRINCESS,55c5025702ac64f9c0001f99,Gameloft,5614b3033f07e2077c0001a7,2023/12/3,Unified,Games,7916071,-6292733,-0.442876,7480967.06,2858444.43,0.618373,192154,-80185,-0.294431,2134162,Russia,$0.43 ,2D Cartoon,Entertainment Mascot,Simulation,Cartoon Fantasy
Hollywood Crush: Match3 puzzle,64e44435fdcd83695758aa03,Yotta Games,63dd5b041eadb647cba7a4f6,2023/12/3,Unified,Games,6501444,6501444,,11176978.81,11176978.81,,94363,94363,,714592,Indonesia,$1.72 ,3D Cartoon,Celebrity,Puzzle,Modern
Fashion Designer: Super Tailor,65e7fc38c36a551bba9686bb,StyleStar Studio,6688277ab56a518ff0176bb6,2023/12/3,Unified,Games,6420693,6420693,,8994.74,8994.74,,30308,30308,,5410,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
My Tidy Life,6334cb825c183338983c2280,Rovio Entertainment,5604883d8ac3501722000ead,2023/12/3,Unified,Games,4899455,-2015044,-0.291423,51239.83,-106205.64,-0.674555,141702,70595,0.9928,1106686,US,$0.02 ,Hypercasual,Hypercasual,Lifestyle,N/A
Rhythm Hive,5fdac14800d39121337278a1,HYBE,62676212d867153477647393,2023/12/3,Unified,Games,4780900,43997,0.009288,7897322.29,1022528.74,0.148736,227144,67609,0.423788,1154040,Indonesia,$1.44 ,2D Cartoon,Idol,Arcade,N/A
Gallery: Color by number game,5cc446663ea9837befb58a9a,Beresnev Games,5983dcf7cb6a352029000bd3,2023/12/3,Unified,Games,4286470,-5114320,-0.544031,2007117.17,-2429998.45,-0.547653,70412,-99416,-0.585392,874082,India,$0.53 ,Flat,Art,Tabletop,N/A
Satisroom: Perfectly Organize,6688a1ee50cb0d840b67547b,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,45124807,45124807,,29092.48,29092.48,,296397,296397,,3137008,Brazil,$0.00 ,2D Cartoon,Hypercasual,Simulation,N/A
Cake Sort - Color Puzzle Game,644764d364e2cd7370727b07,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,33123773,27568562,4.962649,5889949.43,5748644.07,40.68242,732086,677455,12.40056,112063,Brazil,$0.16 ,2D Cartoon,Candy / Dessert,Puzzle,N/A
Love Paradise - Merge Makeover,62f456a984ebe335c69d7daa,Rosecrab,62ad39648e1aae7ba572612e,2023/12/3,Unified,Games,27480055,-3793166,-0.121291,1106935.83,-1125474.4,-0.504152,1394255,932550,2.019796,32119,Brazil,$0.06 ,2D Cartoon,Fashion / Aesthetics / Hair,Puzzle,N/A
Merge Fashion: Romance Story,66f622679845a1944923ee04,Infiniplay-Game,655dd549ad4adb50ef581f31,2023/12/3,Unified,Games,20502500,20502500,,2546654.96,2546654.96,,172934,172934,,16433,Indonesia,$0.13 ,2D Cartoon,Fashion / Aesthetics / Hair,Puzzle,Modern
Gacha Life 2,65252d9a7da6c91ed29d3404,Lunime,58a6531f0211a6cc4b000574,2023/12/3,Unified,Games,20467308,9849249,0.927594,0,0,,939091,844182,8.894646,8205811,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Glow Fashion Idol,64c78e2812196b14aba8b55d,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,17150248,17138806,1497.88551,13495265.29,13493785.26,9117.237664,187489,187343,1283.171233,1764187,India,$0.79 ,3D Realistic,Fashion / Aesthetics / Hair,Lifestyle,Modern
Gacha Club,5ef564881507b53bccf9d13e,Lunime,58a6531f0211a6cc4b000574,2023/12/3,Unified,Games,16577580,-17370219,-0.511674,0,0,,915708,-1896655,-0.674399,7916848,Brazil,$0.00 ,2D Anime,Combat Arena,RPG,High Fantasy
Happy Hospital: ASMR Blast,632e6c3fb03a9e6950b40fa4,DragonPlus,5b987a73a8910117fe4435e3,2023/12/3,Unified,Games,16429486,-14418073,-0.467398,27277868.87,108962.29,0.004011,578059,245017,0.735694,92802,Brazil,$1.15 ,3D Cartoon,Medical / Emergency Services,Simulation,Modern
Hollywood Story: Fashion Star,55d93eac02ac645ad210fcb7,Stillfront Group,560c4a178ac350643900dbf8,2023/12/3,Unified,Games,15494206,-8501928,-0.354304,9172441.42,-1209693.2,-0.116517,134350,-97918,-0.421573,444044,Brazil,$0.87 ,2D Cartoon,Drama,Simulation,Modern
Beauty Tiles: Story & Makeover,66f763dbe529b97c7d0270f7,Pexix,64b8a7afca97157974fedda7,2023/12/3,Unified,Games,13421386,13421386,,2207462.12,2207462.12,,173071,173071,,934,Turkey,$0.16 ,2D Cartoon,Fashion / Aesthetics / Hair,Puzzle,Modern
SUITSME: Dress Up Fashion Game,604cbf088622de63ad44697a,Zirafit,6867730027e2c14076234920,2023/12/3,Unified,Games,12527640,4745962,0.609889,8434990.94,93091.47,0.01116,165517,84803,1.05066,89844,India,$0.82 ,2D Realistic,Fashion / Aesthetics / Hair,Lifestyle,N/A
Fashion Journey : Merge Story,64fcb9cd87ed90536926982c,Rosecrab,62ad39648e1aae7ba572612e,2023/12/3,Unified,Games,8677380,7315460,5.371432,3239334.95,3179018.11,52.705316,209317,202873,31.482464,171176,Brazil,$0.33 ,2D Cartoon,Fashion / Aesthetics / Hair,Puzzle,Modern
Happy Clinic: Hospital Game,5f69ac549174ba4e422eb66b,Nordcurrent,560c3f8c8ac3506439001059,2023/12/3,Unified,Games,8241960,1214201,0.172772,7339345.69,-14865851.69,-0.669476,150119,25640,0.205979,947518,India,$1.94 ,2D Cartoon,Medical / Emergency Services,Simulation,Modern
Dream House Design: Tile Match,622f192a106b8b0d5d4a7bda,Game In Life,58e06c3526295933070005c1,2023/12/3,Unified,Games,7824664,5293017,2.090741,77402.95,26698.83,0.526561,127949,102460,4.019773,6896,Brazil,$0.01 ,2D Cartoon,Decoration,Puzzle,Modern
Game of Vampires: Twilight Sun,64a21c13165c240d92c0d1c8,Mechanist Games,5629578b3f07e28dd1031bdb,2023/12/3,Unified,Games,7443422,7332712,66.233511,32490196.3,32456202.46,954.767171,133716,132979,180.432836,1006969,Russia,$4.30 ,2D Realistic,Horror,Strategy,High Fantasy
Hamster Inn,652c585b3c6e2e513cdac939,HyperBeard,584911cd0211a64a5f0002c4,2023/12/3,Unified,Games,7441927,7441927,,239976.34,239976.34,,89757,89757,,1191084,Russia,$0.03 ,2D Cartoon,Animal - Dog / Pet,Simulation,Cartoon Fantasy
Life Dream: Build Dream Home,667971857698261a55782b0f,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,5441008,5441008,,650463.67,650463.67,,79287,79287,,1279181,India,$0.12 ,3D Cartoon,Decoration,Lifestyle,Modern
Makeover Studio: Makeup Games,631009c7c0233b0dcbe9da25,Stella Joy Studio,604b0e1afae2604c2d5ae478,2023/12/3,Unified,Games,5025343,-20733140,-0.804905,10403.67,-83751.75,-0.889505,106795,-90360,-0.45832,4602,Mexico,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Lifestyle,N/A
"Winked: Choose, Flirt, Love",6161b6e0407f6a5fa08c979d,Stillfront Group,560c4a178ac350643900dbf8,2023/12/3,Unified,Games,4603152,-248453,-0.05121,12926043.38,3239443.42,0.334425,61030,22730,0.593473,138963,India,$2.39 ,2D Realistic,Drama,Lifestyle,Modern
ArtCanvas: Draw And Paint,66f397d4928617971b8cde10,LifeIsGame,6055107933c3fc726139b073,2023/12/3,Unified,Art & Design,4557773,4557773,,7412.64,7412.64,,46262,46262,,6209,Russia,$0.00 ,,,,
Hello Kitty Friends,59a6383aa0072b56130b800d,Super Awesome,55f896238ac350426b04599d,2023/12/3,Unified,Games,4158725,-2576477,-0.382539,375262.21,-16111.75,-0.041167,36765,-8945,-0.19569,768065,Russia,$0.12 ,2D Cartoon,Entertainment Mascot,Puzzle,Cartoon Fantasy
Happy Dessert Cafe,654db115ad4adb736e33a50e,LifeSim,631257df40da530dbdcd8f48,2023/12/3,Unified,Games,3789953,3789953,,539051.75,539051.75,,102852,102852,,640660,Indonesia,$0.14 ,2D Cartoon,Candy / Dessert,Simulation,Modern
Cat Mart: Cute Grocery Shop,647eae67188d2e5e66ff79d2,TREEPLLA,60db2b27b3ae27042a5c038c,2023/12/3,Unified,Games,3633682,1123749,0.447721,253776.97,158444.25,1.662013,77622,63169,4.37065,831611,Indonesia,$0.06 ,2D Cartoon,Animal - Cat,Simulation,Cartoon Fantasy
Episode - Choose Your Story,5378330e830f782dbe000189,Pocket Gems,5614bf093f07e25d29003e54,2023/12/3,Unified,Games,20255769,-20750298,-0.50603,41444438.83,-30464891.15,-0.423657,347882,-323418,-0.481779,788864,US,$1.57 ,2D Cartoon,Drama,Lifestyle,Modern
Makeup Kit - Color Mixing,62b495fbb3ae275c2a1ab4ee,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,16215150,-20851258,-0.562538,22198,22160.25,587.02649,160764,-108080,-0.402018,2629709,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Tabletop,N/A
Project Match: ASMR Salon,650e697ede8d8b7e7cdb966a,Casual Joy,5b7b1a4824f9a71e50f49fcc,2023/12/3,Unified,Games,15845314,15380193,33.067079,1998831.9,1877957.2,15.536396,135158,133561,83.632436,69023,Brazil,$0.13 ,3D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Foodie Sizzle,681eb48a7a54db51c803a365,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,15088264,15088264,,5403385.21,5403385.21,,92748,92748,,314263,Brazil,$0.36 ,2D Cartoon,Cooking / Food,Puzzle,N/A
Fill Up Fridge:Organizing Game,6247e325575b571d17d9e087,GameLord 3D,5f0fc64047db28734a5a9eee,2023/12/3,Unified,Games,12683106,-16011871,-0.558003,706.46,-3666.79,-0.838459,185994,-188466,-0.503301,60286,Brazil,$0.00 ,Hypercasual,Decoration,Puzzle,Modern
My Cafe — Restaurant Game,55de04da02ac6453fd03cea0,Moon Active,560c7e608ac350643902fee7,2023/12/3,Unified,Games,12023612,-6273244,-0.342859,15102261.71,-16131770.71,-0.516481,216037,-294032,-0.576455,2821487,Brazil,$1.33 ,2D Cartoon,Cooking / Food,Simulation,Modern
Modern Community,646e3daecfe7db0ffbd188b3,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,11514927,11480722,335.644555,22063162.38,22029980.37,663.913379,517960,517723,2184.485232,1472403,Philippines,$1.91 ,3D Cartoon,Decoration,Puzzle,Modern
Chapters: Interactive Stories,59a4c78bf6b0f53461f7c352,Crazy Maple Studio,58f9d16a5909053556000397,2023/12/3,Unified,Games,9744178,-369703,-0.036554,66321350.04,-12542364.77,-0.159038,150087,-148634,-0.497568,456085,US,$5.83 ,2D Realistic,Drama,Lifestyle,Modern
Nut n Bolt Sort: Color Puzzle,65a33755c8169669ce60eaa4,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,9065079,9065079,,140072.79,140072.79,,194809,194809,,435309,Brazil,$0.02 ,Hypercasual,Hypercasual,Puzzle,N/A
Fashion Tailor: Fashion Design,671b00294c337013b3113712,WizSprint,6502e63eb9641522478854b6,2023/12/3,Unified,Games,8517104,8517104,,122.55,122.55,,30163,30163,,7024,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Hide and Seek: Cat Escape!,5ffdc380ec1eca0b6cd335da,Joypac,5b7a0681253223033efc521d,2023/12/3,Unified,Games,7591101,-4925087,-0.393497,4480.69,-2248.87,-0.334178,78888,-75325,-0.488448,2281469,Russia,$0.00 ,2D Cartoon,Animal - Cat,Arcade,Cartoon Fantasy
Housify: Cleaning ASMR,672052a20afe32c885ba38f3,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,6677870,6677870,,52347.07,52347.07,,102070,102070,,584148,India,$0.01 ,Hypercasual,Hypercasual,Simulation,N/A
Handmade Story: DIY ASMR,671c6ff9dc36dbaf5721206b,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,5535757,5535757,,1989.02,1989.02,,23605,23605,,182725,India,$0.00 ,Hypercasual,Hypercasual,Simulation,N/A
Food Match 3D: Tile Puzzle,619dba03c666f32593a27bd3,Masal Games,67f579f61079c1e742924261,2023/12/3,Unified,Games,5122714,764576,0.175436,1814825.58,1547063.46,5.777753,64362,43852,2.138079,8853,US,$0.22 ,3D Realistic,Cooking / Food,Puzzle,N/A
Kawaii Puzzle: Unpacking Decor,5eddb6accdb1295e5fd06728,Suga,55f896148ac350426b04550c,2023/12/3,Unified,Games,3601986,2230511,1.626359,6756.33,-165.81,-0.023954,16422,10465,1.756757,11015,Indonesia,$0.01 ,2D Cartoon,Decoration,Simulation,N/A
Color Puzzle: Offline Hue Game,5a493d4053dcd54a4854180e,CO2 Games,6261b5733eb8443ecac84537,2023/12/3,Unified,Games,3410605,-937370,-0.215588,4127.35,-1145.96,-0.217313,54023,-7075,-0.115798,67214,Russia,$0.00 ,Flat,Art,Puzzle,N/A
Skincare Time: Makeover ASMR,673ec16e43283a4e10425519,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,48915467,48915467,,22600.64,22600.64,,302246,302246,,3567760,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Simulation,N/A
Dreamy Room,677d166043283a0d77ae1a58,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,37580197,37580197,,4862678.54,4862678.54,,297149,297149,,5714409,Indonesia,$0.13 ,2D Cartoon,Decoration,Lifestyle,Modern
Love and Deepspace,654319170b276e064b329296,Papergames,5a316e060211a699e40b7cf5,2023/12/3,Unified,Games,24180238,24180238,,617460785.6,617460785.6,,1323326,1323326,,6484885,China,$25.34 ,3D Anime,Otome,Lifestyle,Sci-Fi
Fill The Fridge,6200d1c82e0ec148ad900dd6,Take-Two Interactive,5614b32f3f07e2077c000488,2023/12/3,Unified,Games,21694094,-80290687,-0.787281,90821.68,-741412.33,-0.89087,262281,-904415,-0.775193,6488892,Brazil,$0.01 ,Hypercasual,Cooking / Food,Lifestyle,Modern
Associations Word Connections,62e5fcde967e690eb56bb56f,Hitapps,60206b0f1baf9812203ddd87,2023/12/3,Unified,Games,14787275,10883807,2.78824,380265.51,288848.1,3.159662,285623,253983,8.027276,511318,US,$0.02 ,Flat,Tabletop,Puzzle,N/A
Hole and Fill: Collect Master!,63fecdb18780183fd0198de4,Homa,5aa808e60343f831cb01ec03,2023/12/3,Unified,Games,8954844,-2282002,-0.203082,406458.64,-146854.54,-0.265409,201151,114064,1.309771,77330,India,$0.05 ,Hypercasual,Hypercasual,Arcade,N/A
Золотоискатели - Игра Ферма,6509e119ccba5873730d2868,Azur Interactive Games,592cc9f811f9436cc900106f,2023/12/3,Unified,Games,8432428,8260989,48.186171,0,0,,143503,142873,226.78254,115036,Russia,$0.00 ,3D Cartoon,Farming,Simulation,Modern
Unravel Master: Tangle Puzzle,680156a2fc576b3607cdcc88,ironSource,55f8912b8ac350426b02ddcf,2023/12/3,Unified,Games,7451871,7451871,,3398572.21,3398572.21,,50208,50208,,2295,US,$0.46 ,2D Cartoon,Bubbles / Tiles / Colors,Puzzle,N/A
Merge Inn - Cafe Merge Game,6030e517ce6b8169431ac5dd,Original Games,637294d145535c0f0220b398,2023/12/3,Unified,Games,6947679,-2810772,-0.288035,9740800.91,798977.18,0.089353,349614,72497,0.261612,114919,US,$1.09 ,2D Cartoon,Cooking / Food,Puzzle,Cartoon Fantasy
Cooking Wonder: Cooking Games,6274836f03986e7bdceb3117,WonderLegend Games,6274836f03986e7bdceb3116,2023/12/3,Unified,Games,6586377,4745631,2.578102,1354850.84,828082.46,1.572005,111958,92152,4.652731,155053,India,$0.23 ,2D Cartoon,Cooking / Food,Simulation,Modern
以闪亮之名,626d11b3b672a029fdbf45c0,ZLOONG,584a35620211a629320002b0,2023/12/3,Unified,Games,5988279,-201446,-0.032545,61048833.86,18506421.23,0.435011,264424,136853,1.072759,2632567,China,$8.50 ,3D Anime,Fashion / Aesthetics / Hair,Lifestyle,Modern
Star Stable Online: Horse Game,6080538d9dbf7e35a2375d83,Star Stable Entertainment,57c5277313b4b465d30009dd,2023/12/3,Unified,Games,5971164,2626119,0.785077,12613476.42,6879644.1,1.199833,189905,112585,1.456092,480763,US,$1.97 ,3D Cartoon,Animal - Horse,Simulation,High Fantasy
Cooking Diary Restaurant Game,59d8e4a70211a64122a528ee,Mytona,633c86565b8c0124d6eebd01,2023/12/3,Unified,Games,5834752,-4471329,-0.433853,31348281.8,-19484730.94,-0.383309,162797,-162564,-0.499642,299205,US,$4.21 ,2D Cartoon,Cooking / Food,Simulation,Modern
Garden Affairs: Design & Match,5ee0c49b8f66bc275953f17e,Judian Technology International,60a5b5da07cfe125c8f84ae2,2023/12/3,Unified,Games,5344023,-4739297,-0.470014,4041386.53,-11203981.02,-0.734911,250328,55203,0.282911,136159,Russia,$1.25 ,2D Cartoon,Decoration,Puzzle,Modern
Trivia Spin－Guess Brain Quiz,654eafc96b75502fc52bf140,Severex,591ca4e04a77c73577000fb3,2023/12/3,Unified,Games,4508146,4488397,227.272115,219124.53,219017.9,2053.998875,63498,63459,1627.153846,536103,Russia,$0.05 ,Flat,Tabletop,Puzzle,N/A
Merge Sticker Playbook 2D,65b5aea1cf394269559494b9,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,4430002,4430002,,1571007.88,1571007.88,,57202,57202,,0,US,$0.35 ,Flat,Hypercasual,Puzzle,N/A
